mz,rt,intensity,CCS,Compound,NeutralFormula,CAS,SuperClass,Class,Subclass
110.0598,1232,1975,118.3,2-Aminophenol,C6H7NO,95-55-6,Benzenoids,Benzene and substituted derivatives,Aniline and substituted anilines
110.0598,239,14345,125.1,2-Aminophenol,C6H7NO,95-55-6,Benzenoids,Benzene and substituted derivatives,Aniline and substituted anilines
333.0629,696,13311,178.1,Sulfadimethoxine,C12H14N4O4S,122-11-2,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides
309.0657,1051,9770,171.3,Sulfadimethoxine,C12H14N4O4S,122-11-2,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides
311.0814,1366,4802,169.4,Sulfadimethoxine,C12H14N4O4S,122-11-2,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides
271.0315,731,1191,158,Sulfamethizole,C9H10N4O2S2,144-82-1,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides
293.0136,109,7192,173.5,Sulfamethizole,C9H10N4O2S2,144-82-1,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides
294.0548,1236,4165,171.5,N-Acetyl-sulfamethoxazole,C12H13N3O4S,21312-10-7,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides
296.0705,1275,5911,170.4,N-Acetyl-sulfamethoxazole,C12H13N3O4S,21312-10-7,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides
318.0524,233,6521,177.4,N-Acetyl-sulfamethoxazole,C12H13N3O4S,21312-10-7,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides
277.0759,936,5950,170,Sulfisomidine,C12H14N4O2S,515-64-0,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides
301.0735,635,9802,179,Sulfisomidine,C12H14N4O2S,515-64-0,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides
213.0446,134,11239,146.6,Sulfaguanidine,C7H10N4O2S,57-67-0,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides
215.0603,611,14061,148.4,Sulfaguanidine,C7H10N4O2S,57-67-0,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides
279.0907,1244,13816,163.8,Sulfamethazine,C12H14N4O2S,57-68-1,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides
301.0735,193,6856,172.4,Sulfamethazine,C12H14N4O2S,57-68-1,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides
277.0759,547,355,168.1,Sulfamethazine,C12H14N4O2S,57-68-1,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides
171.0228,228,7752,141.2,Sulfanilamide,C6H8N2O2S,63-74-1,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides
173.0385,566,7926,155.1,Sulfanilamide,C6H8N2O2S,63-74-1,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides
195.0204,1421,3430,151.8,Sulfanilamide,C6H8N2O2S,63-74-1,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides
285.0204,832,5580,161.7,Sulfachloropyridazine,C10H9ClN4O2S,80-32-0,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides
307.0026,308,12878,171.2,Sulfachloropyridazine,C10H9ClN4O2S,80-32-0,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides
196.0044,1028,635,152.3,Aniline-2-sulfonate,C6H7NO3S,88-21-1,Benzenoids,Benzene and substituted derivatives,Benzenesulfonic acids and derivatives
172.0079,141,2662,131.9,Aniline-2-sulfonate,C6H7NO3S,88-21-1,Benzenoids,Benzene and substituted derivatives,Benzenesulfonic acids and derivatives
289.0536,367,2110,172.7,4-((4-(Benzyloxy)phenyl)-sulfonyl) phenol,C15H14O4S,63134-33-8,Benzenoids,Benzene and substituted derivatives,Benzenesulfonyl compounds
583.1471,1283,4647,226.1,4-((4-Isopropoxyphenyl) sulfonyl) phenol,C15H16O4S,95235-30-6,Benzenoids,Benzene and substituted derivatives,Benzenesulfonyl compounds
291.071,356,860,174.8,4-((4-Isopropoxyphenyl) sulfonyl) phenol,C15H16O4S,95235-30-6,Benzenoids,Benzene and substituted derivatives,Benzenesulfonyl compounds
659.1781,922,3499,241,4-(4-hydroxy-3-prop-2-enylphenyl)sulfonyl-2-prop-2-enylphenol,C18H18O4S,,Benzenoids,Benzene and substituted derivatives,Benzenesulfonyl compounds
329.0851,1080,12872,180,4-(4-hydroxy-3-prop-2-enylphenyl)sulfonyl-2-prop-2-enylphenol,C18H18O4S,,Benzenoids,Benzene and substituted derivatives,Benzenesulfonyl compounds
499.052,1025,13869,202.4,Bispehnol S,C12H10O4S,1980-09-01,Benzenoids,Benzene and substituted derivatives,Benzenesulfonyl compounds
249.0224,1380,1118,155.5,Bisphenol S,C12H10O4S,1980-09-01,Benzenoids,Benzene and substituted derivatives,Benzenesulfonyl compounds
435.2747,460,7464,218.4,"2,4-Di-(2-ethylhexyl) trimellitate",C25H38O6,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
457.2566,1798,6925,233.3,"2,4-Di-(2-ethylhexyl) trimellitate",C25H38O6,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
433.2609,724,7286,222.9,"2,4-Di-(2-ethylhexyl) trimellitate",C25H38O6,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
407.2794,1614,4855,202.9,Bis(2-ethylhexyl)phthalate,C24H38O4,117-81-7,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
391.2822,1652,14225,212.2,Bis(2-ethylhexyl)phthalate,C24H38O4,117-81-7,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
413.2655,1780,1773,216,Bis(2-ethylhexyl)phthalate,C24H38O4,117-81-7,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
136.0416,177,13175,126.1,Anthranilate,C7H7NO2,118-92-3,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
138.0559,1320,246,127.3,4-Aminobenzoate,C7H7NO2,150-13-0,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
345.1677,146,10698,181.9,6-Hydroxy monopropylheptyl phthalate,C18H26O5,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
321.171,1005,6053,178.6,6-Hydroxy monopropylheptyl phthalate,C18H26O5,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
152.0366,1694,2821,126.1,3-Amino-4-Hydroxybenzoate,C7H7NO3,1571-72-8,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
154.0496,1683,6717,140,3-Amino-4-Hydroxybenzoate,C7H7NO3,1571-72-8,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
242.9592,923,12436,156.1,Dicamba,C8H6Cl2O3,1918-00-9,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
193.0501,711,3385,147.7,Monoethyl Phthalate,C10H10O4,2306-33-4,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
217.0477,1355,2199,154.7,Monoethyl Phthalate,C10H10O4,2306-33-4,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
153.0198,1198,10247,120.9,"2,3-Dihydroxybenzoate",C7H6O4,303-38-8,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
803.543,1127,5345,299.8,Di(2-ethylhexyl) phthalate,C24H38O4,82208-43-3,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
391.2838,475,14591,211,Di(2-ethylhexyl) phthalate,C24H38O4,82208-43-3,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
413.2655,235,4293,215.3,Di(2-ethylhexyl) phthalate,C24H38O4,82208-43-3,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
413.2658,1625,10173,215.8,Di(2-ethylhexyl) terephthalate,C24H38O4,6422-86-2,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
915.6689,127,13850,325.4,Diisodecyl phthalate,C28H46O4,89-16-7,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
447.346,481,6648,227.9,Diisodecyl phthalate,C28H46O4,89-16-7,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
469.3282,1091,10691,226.4,Diisodecyl phthalate,C28H46O4,89-16-7,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
859.6069,291,9921,313.4,Diisononyl phthalate,C26H42O4,28553-12-0,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
419.315,1579,2707,220.6,Diisononyl phthalate,C26H42O4,28553-12-0,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
441.2969,574,4985,220.9,Diisononyl phthalate,C26H42O4,28553-12-0,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
365.1372,1012,8679,186.3,Dipropyleneglycol dibenzoate,C20H22O5,20109-39-1,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
192.0661,1626,11836,153.1,2-Methylhippuric Acid,C10H11NO3,42013-20-7,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
216.0637,1058,5109,155.6,2-Methylhippuric Acid,C10H11NO3,42013-20-7,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
399.2167,931,5929,218.6,Isooctyl-2-phenoxyethylterephthalate,C24H30O5,72512-75-5,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
194.0453,951,2613,137.5,2-Hydroxy Hippuric Acid,C9H9NO4,487-54-7,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
218.0429,532,10582,153.9,2-Hydroxy Hippuric Acid,C9H9NO4,487-54-7,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
153.0194,732,3316,125,"2,5-Dihydrobenzoate",C7H6O4,490-79-9,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
178.0527,347,4971,142.4,Hippurate,C9H9NO3,495-69-2,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
202.0473,517,4204,149.9,Hippurate,C9H9NO3,495-69-2,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
203.032,870,3145,145.9,Acetylsalicylic Acid,C9H8O4,50-78-2,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
421.1988,891,13424,227.4,Isooctyl-2-phenoxyethylterephthalate,C24H30O5,72512-75-5,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
311.1478,1255,990,170,Mono(2-ethyl-5-carboxypentyl) adipate,C14H24O6,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
287.15,1569,11603,167,Mono(2-ethyl-5-carboxypentyl) adipate,C14H24O6,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
331.1156,365,10170,174.4,Mono-(2-ethyl-5-carboxypentyl) phthalate,C16H20O6,40809-41-4,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
180.0661,1690,6151,145.9,Hippurate,C9H9NO3,532-94-5,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
152.0363,260,9221,128.4,3-Hydroxyanthranilate,C7H7NO3,548-93-6,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
154.0493,1752,11814,131.3,3-Hydroxyanthranilate,C7H7NO3,548-93-6,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
307.1185,883,5950,169.9,Mono-(2-ethyl-5-carboxypentyl) phthalate,C16H20O6,40809-41-4,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
317.1362,368,884,172.9,Mono(2-ethyl-5-hydroxyhexyl) phthalate,C16H22O5,40321-99-1,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
293.1397,335,2583,169,Mono(2-ethyl-5-hydroxyhexyl) phthalate,C16H22O5,40321-99-1,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
293.14,1460,10844,185.1,Mono(2-ethyl-5-hydroxyhexyl) terephthalate,C16H22O5,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
315.1207,1181,6762,170.2,Mono(2-ethyl-5-oxohexyl)phthalate,C16H20O5,40321-98-0,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
291.1244,203,12441,168.3,Mono(2-ethyl-5-oxohexyl)phthalate,C16H20O5,40321-98-0,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
301.1417,1074,10758,182.3,Mono(2-ethylhexyl) phthalate,C16H22O4,4376-20-9,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
277.1449,1237,4072,168.9,Mono(2-ethylhexyl) phthalate,C16H22O4,4376-20-9,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
277.145,296,1750,183.5,Mono(2-ethylhexyl) terephthalate,C16H22O4,155603-50-2,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
137.024,767,13870,119.8,Salicylate,C7H6O3,69-72-7,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
275.0535,1438,6105,156.9,Mono-(3-carboxypropyl) phthalate,C12H12O6,66851-46-5,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
343.1517,306,9316,180.2,Mono-2-(propyl-6-oxoheptyl)-phthalate,C18H24O5,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
319.156,1681,10932,177.7,Mono-2-(propyl-6-oxoheptyl)-phthalate,C18H24O5,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
247.0973,1690,1515,159.7,Monocyclohexyl phthalate,C14H16O4,7517-36-4,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
193.0507,238,2464,141.7,Monoethyl phthalate,C10H10O4,2306-33-4,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
331.152,1621,2022,176.6,Mono-hydroxy-isononyl phthalate,C17H24O5,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
307.1559,1638,3292,172.5,Mono-hydroxy-isononyl phthalate,C17H24O5,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
245.0788,1790,9164,163.4,Monoisobutyl phthalate,C12H14O4,30833-53-5,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
221.0817,467,8577,151.8,Monoisobutyl phthalate,C12H14O4,30833-53-5,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
203.0321,1056,7476,146.1,Monomethyl phthalate,C9H8O4,4376-18-5,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
179.035,1094,4049,137,Monomethyl phthalate,C9H8O4,4376-18-5,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
245.0789,996,6994,163.9,Mono-n-butyl phthalate,C12H14O4,131-70-4,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
221.0821,722,3330,151.1,Mono-n-butyl phthalate,C12H14O4,131-70-4,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
245.079,314,10162,164.2,Diethyl Pthalate,C12H14O4,84-66-2,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
153.021,468,1217,122.9,"3,4-Dihydroxybenzoate",C7H6O4,99-50-3,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
137.0259,388,10958,121.6,4-Hydroxybenzoate,C7H6O3,99-96-7,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
535.2655,945,12324,199.4,Antimycin A2b,C27H38N2O9,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
535.2655,774,7706,217,Antimycin A2b,C27H38N2O9,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
535.2655,1222,12448,239.6,Antimycin A2b,C27H38N2O9,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
521.2499,370,5930,197.8,Antimycin A3,C26H36N2O9,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
521.2499,1139,348,213.5,Antimycin A3,C26H36N2O9,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
521.2499,1039,13390,234.2,Antimycin A3,C26H36N2O9,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
573.2214,1750,3245,227.5,Antimycin A2b,C27H38N2O9,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
559.2058,1555,6191,225.8,Antimycin A3,C26H36N2O9,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
557.2475,1406,7054,225.2,Antimycin A2b,C27H38N2O9,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
543.2318,659,10804,222,Antimycin A3,C26H36N2O9,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
463.3055,793,2951,236.6,Tri-n-hexyltrimellitate,C27H42O6,1528-49-0,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
485.2874,631,10960,247.5,Tri-n-hexyltrimellitate,C27H42O6,1528-49-0,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
569.3798,670,14271,264.4,Tris(2-ethylhexyl)trimellitate,C33H54O6,3319-31-1,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
183.081,1382,2518,138.3,Benzophenone,C13H10O,119-61-9,Benzenoids,Benzene and substituted derivatives,Benzophenones
123.046,913,7954,122.3,3-Hydroxybenzyl Alcohol,C7H8O2,620-24-6,Benzenoids,Benzene and substituted derivatives,Benzyl alcohols
304.9095,470,4542,161.1,"2,3,3',4,4'-Pentachlorobiphenyl",C12H5Cl5,11097-69-1,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
236.9874,620,10096,150.9,"4-Hydroxy-3,5-dichlorobiphenyl ",C12H8Cl2O,1137-59-3,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
270.9484,1172,13894,159.3,"4-Hydroxy-2',4',6'-trichlorobiphenyl ",C12H7Cl3O,14962-28-8,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
304.9095,1676,1033,163.4,"4-Hydroxy-2',3',5',6'-tetrachlorobiphenyl ",C12H6Cl4O,14962-32-4,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
304.9095,795,2346,162.7,"4-Hydroxy-2,2',4',6'-tetrachlorobiphenyl ",C12H6Cl4O,150304-08-8,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
372.8315,1616,13392,175.1,"4-Hydroxy-2',3,3',5,5',6'-hexachlorobiphenyl",C12H4Cl6O,158076-62-1,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
372.8315,387,9803,174.7,"4-Hydroxy-2',3,3',4',5,5'-hexachlorobiphenyl ",C12H4Cl6O,158076-63-2,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
406.7925,466,7909,179.8,"4'-Hydroxy-2,2',3,3',4,5,5'-heptachlorobiphenyl",C12H3Cl7O,158076-64-3,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
236.9874,1395,3837,150.2,"2,4,5-Trichlorobiphenyl",C12H7Cl3,15862-07-4,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
338.8705,1160,11167,169.4,"4-Hydroxy-2',3,3',4',5'-pentachlorobiphenyl",C12H5Cl5O,192190-09-3,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
474.7061,868,7503,185.2,Decachlorobiphenyl,C12Cl10,2051-24-3,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
406.7925,1224,2828,176.3,"2,2',3,3',5,5',6,6'-Octachlorobiphenyl ",C12H2Cl8,2136-99-4,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
203.0264,179,13105,147,4-Hydroxy-2-chlorobiphenyl ,C12H9ClO,23719-22-4,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
203.0264,119,9353,147.8,4-Hydroxy-4'-chlorobiphenyl ,C12H9ClO,28034-99-3,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
372.8315,867,12766,173.3,"2,3,3',4',5,5',6-Heptachlorobiphenyl",C12H3Cl7,28655-71-2,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
406.7925,1511,4844,179.7,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl ",C12H2Cl8,31472-83-0,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
406.7925,841,14063,177.4,"2,2',3,3',4,4',5,6-Octachlorobiphenyl ",C12H2Cl8,31472-83-0,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
270.9484,1680,9215,155.1,"2,3',4',5-Tetrachlorobiphenyl",C12H6Cl4,32598-11-1,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
338.8705,234,2750,169.4,"3,3',4,4',5,5'-Hexachlorobiphenyl",C12H4Cl6,32774-16-6,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
236.9874,842,11577,149.6,"2,4,6-Trichlorobiphenyl",C12H7Cl3,35693-92-6,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
270.9461,192,1445,156.2,"2,2',5,5'-Tetrachlorobiphenyl",C12H6Cl4,35693-99-3,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
338.8705,1081,9326,167.7,"2,3,3',4,4',5-Hexachlorobiphenyl",C12H4Cl6,38380-08-4,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
372.8315,166,13900,173.3,"2,3,3',4,4',5,5'-Heptachlorobiphenyl",C12H3Cl7,39635-31-9,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
440.7536,1545,4435,182.8,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl ",C12H1Cl9,40186-72-9,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
372.8315,1029,5362,172.7,"2,3,3',4,4',5,6-Heptachlorobiphenyl",C12H3Cl7,41411-64-7,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
338.8705,1170,14303,167.3,"2,3',4,4',5,5'-Hexachlorobiphenyl",C12H4Cl6,52663-72-6,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
440.7536,447,4572,181.4,"2,2',3,3',4,5,5',6,6'-Nonachlorobiphenyl",C12H1Cl9,52663-77-1,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
440.7536,1043,1306,181.1,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl",C12H1Cl9,52663-79-3,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
236.9874,296,6772,152.6,"4-Hydroxy-2',5'-dichlorobiphenyl ",C12H8Cl2O,53905-28-5,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
236.9874,1322,2261,154.9,"3-Hydroxy-2',5'-dichlorobiphenyl ",C12H8Cl2O,53905-29-6,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
236.9874,1066,11275,151.1,"2-Hydroxy-2',5'-dichlorobiphenyl ",C12H8Cl2O,53905-30-9,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
270.9484,1394,6833,158.4,"4-Hydroxy-2,2',5'-trichlorobiphenyl",C12H7Cl3O,53905-33-2,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
304.9095,1218,11349,163.9,"3,3',4,4',5-Pentachlorobiphenyl",C12H5Cl5,57465-28-8,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
304.9095,1278,4474,160.2,"2,2',4,5',6-Pentachlorobiphenyl",C12H5Cl5,60145-21-3,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
203.0264,622,3764,143.5,2-Hydroxy-5-chlorobiphenyl ,C12H9ClO,607-12-5,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
